,Latinsk_navn,Norsk_navn,Total,Input,Unnamed: 4,taxonID,scientificNameID,scientificName,scientificNameAuthorship,taxonRank,acceptedNameUsageID,acceptedNameUsage,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,higherClassification,vernacularName (nb),vernacularName (nn),dynamicProperty,gbif_taxon_id
28,Alectoria nigricans,jervskjegg,5,Alectoria nigricans,,47429,71456,Alectoria nigricans,(Ach.) Nyl.,species,,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Alectoria,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Parmeliaceae Alectoria,jervskjegg,,,5261197
29,Alectoria ochroleuca,rabbeskjegg,5,Alectoria ochroleuca,,47430,71457,Alectoria ochroleuca,(Hoffm.) Massal.,species,,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Alectoria,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Parmeliaceae Alectoria,rabbeskjegg,,,5261195
30,Alisma plantago-aquatica,vassgro,2,Alisma plantago-aquatica,,141921,99303,Alisma plantago-aquatica,L.,species,,,Plantae,Magnoliophyta,Monocots,Alismatales,Alismataceae,Alisma,,,,Plantae Magnoliophyta Monocots Alismatales Alismataceae Alisma,vassgro,vassgro,,2865100
31,Allantoparmelia alpicola,fjelltopplav,1,Allantoparmelia alpicola,,47435,71462,Allantoparmelia alpicola,(Th. Fr.) Essl.,species,,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Allantoparmelia,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Parmeliaceae Allantoparmelia,fjelltopplav,,,2605065
32,Alliaria petiolata,løkurt,2,Alliaria petiolata,,130196,101071,Alliaria petiolata,(M.Bieb.) Cavara & Grande,species,,,Plantae,Magnoliophyta,Eudicots,Brassicales,Brassicaceae,Alliaria,,,,Plantae Magnoliophyta Eudicots Brassicales Brassicaceae Alliaria,løkurt,laukurt,,5376075
33,Allium oleraceum,vill-løk,4,Allium oleraceum,,59369,99409,Allium oleraceum,L.,species,,,Plantae,Magnoliophyta,Monocots,Asparagales,Amaryllidaceae,Allium,,,,Plantae Magnoliophyta Monocots Asparagales Amaryllidaceae Allium,vill-løk,vill-lauk,,2857071
34,Allium vineale,strandløk,2,Allium vineale,,130210,99421,Allium vineale,L.,species,,,Plantae,Magnoliophyta,Monocots,Asparagales,Amaryllidaceae,Allium,,,,Plantae Magnoliophyta Monocots Asparagales Amaryllidaceae Allium,strandløk,strandlauk,,2856958
35,Alnus glutinosa,svartor,6,Alnus glutinosa,,130216,102131,Alnus glutinosa,(L.) Gaertn.,species,,,Plantae,Magnoliophyta,Eudicots,Fagales,Betulaceae,Alnus,,,,Plantae Magnoliophyta Eudicots Fagales Betulaceae Alnus,svartor,svartor,,2876213
36,Alnus incana,gråor,11,Alnus incana,,144012,102132,Alnus incana,(L.) Moench,species,,,Plantae,Magnoliophyta,Eudicots,Fagales,Betulaceae,Alnus,,,,Plantae Magnoliophyta Eudicots Fagales Betulaceae Alnus,gråor,gråor,,2876388
37,Alopecurus aequalis,vassreverumpe,2,Alopecurus aequalis,,144925,99879,Alopecurus aequalis,Sobol.,species,,,Plantae,Magnoliophyta,Monocots,Poales,Poaceae,Alopecurus,,,,Plantae Magnoliophyta Monocots Poales Poaceae Alopecurus,vassreverumpe,vassreverumpe,,5290083
