gbifKey,count
2725309,58
2725414,1316
2725816,473
2726010,824
2726097,25
2726445,13
2726545,539
2726592,2245
2726614,864
2726673,122
2726725,2036
2726880,987
2726894,1770
2726956,385
2727038,2146
2727181,206
2727266,51
2727655,718
2727907,626
2727938,2287
2728174,282
2728183,55
2728281,93
2728531,1484
2728749,16
2728870,270
2728963,378
2729081,552
2729473,118
2729936,472
2729937,30
2730127,4059
2730185,4361
2730210,419
2730240,818
2742125,35
2768885,8176
2769317,8643
2770004,1262
2770228,6537
2791364,283
2797313,2547
2797917,3
2810689,706
2810731,185
2820517,3485
2849427,9747
2857071,2165
2864429,670
2865100,8337
2865260,1318
2865280,1136
2865368,3209
2873865,2357
2875008,58199
2875979,19123
2876213,13195
2882482,12688
2882527,277
2882580,11575
2882793,371
2882833,13151
2882835,14426
2882940,4922
2883018,367
2883075,946
2888272,3250
2888310,8059
2888444,18
2888605,22956
2888808,17808
2888811,6729
2888946,704
2888951,6549
2888992,1391
2888995,13428
2889262,6945
2889299,2792
2889358,2551
2890560,4213
2890668,35140
2890920,5504
2891147,9297
2891304,12427
2891779,5175
2913130,4227
2913365,738
2913548,31178
2913556,1197
2914338,8770
2914547,1285
2914642,9544
2926612,14538
2926682,46549
2926759,9387
2926945,11467
2927116,178
2927192,5006
2927245,12661
2927282,11245
2927850,2750
2928441,12903
2932737,35208
2964355,16074
2971042,952
2971095,27565
2974786,11751
2974793,2342
2975287,23524
2977171,870
2984535,13851
2985688,2063
2986129,679
2987999,19692
2988069,5471
2992808,5661
2993094,15255
2998290,3918
3001956,10890
3002263,2569
3003979,15820
3012167,23654
3020532,7628
3020791,8898
3021037,15765
3023221,14578
3025029,1329
3025576,294
3027437,9448
3027452,149
3027485,70
3027538,24
3027640,233
3027648,1103
3027791,124
3028176,198
3028402,62
3028763,250
3029817,22072
3032585,9196
3032719,128
3032756,103
3032776,32
3032783,220
3032796,864
3032833,3147
3032869,539
3033129,3661
3033134,451
3033263,20032
3033266,7828
3033289,5493
3033339,23501
3033354,172
3033363,16293
3033374,7412
3033446,275
3033461,1076
3033605,1624
3033894,5462
3034133,3384
3034225,195
3034391,5142
3034620,19443
3034714,3481
3034798,1432
3039454,16080
3039491,16674
3040249,11883
3042644,1
3045463,1068
3045704,202
3046044,3123
3046155,456
3048266,6008
3048674,307
3048831,11583
3049396,19660
3049444,276
3049482,131
3049571,95
3049612,124
3049679,9
3049757,117
3049770,162
3049881,21
3050148,5
3050163,56
3050177,30
3050232,132
3050364,7381
3052436,5531
3052680,13595
3053168,5367
3054168,1887
3064056,952
3066367,8347
3083541,1472
3083660,352
3083696,1020
3083786,4087
3083838,18885
3083957,2206
3085370,3259
3085388,1455
3085390,33
3085396,54
3085402,4711
3085407,269
3085434,1716
3085444,95
3085450,621
3085456,39
3085458,7820
3085480,67
3085503,41
3085555,133
3085560,36
3085648,75
3085776,5098
3085810,3296
3085811,874
3085873,496
3085895,757
3087634,1290
3088323,5651
3093693,2035
3098616,4046
3103791,16350
3104173,3786
3104179,15349
3104537,251
3105380,2833
3105782,16271
3105813,14155
3107855,2766
3108983,20365
3113239,8646
3113414,42860
3113650,5333
3113745,3562
3118057,275
3118274,32321
3120060,87120
3120333,4939
3120946,40630
3121461,5516
3121563,459
3128547,18083
3133512,6999
3134857,14867
3134951,23996
3135329,7974
3135561,255
3139040,11587
3147080,4748
3147144,383
3147301,206
3149879,40836
3169326,1616
3169358,4014
3169386,15203
3169852,124
3169899,174
3170097,1161
3170807,1577
3171704,227
3171711,507
3171712,2320
3171734,3241
3171959,29
3171980,3008
3172043,6045
3172048,12268
3172049,14777
3172050,846
3172054,688
3172057,13844
3172059,3820
3172062,4360
3172072,2415
3172082,1048
3172116,839
