,Unnamed: 0,Latinsk_navn,Norsk_navn,Total,Input,Unnamed: 4,taxonID,scientificNameID,scientificName,scientificNameAuthorship,taxonRank,acceptedNameUsageID,acceptedNameUsage,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,higherClassification,vernacularName (nb),vernacularName (nn),dynamicProperty,gbif_taxon_id
1051,1051,Sphaerophorus fragilis,grå korallav,1,Sphaerophorus fragilis,,51293,75320,Sphaerophorus fragilis,(L.) Pers.,species,,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Sphaerophoraceae,Sphaerophorus,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Sphaerophoraceae Sphaerophorus,grå korallav,,,5261340.0
1052,1052,Sphaerophorus globosus,brun korallav,6,Sphaerophorus globosus,,51294,75321,Sphaerophorus globosus,(Hudson) Vainio,species,,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Sphaerophoraceae,Sphaerophorus,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Sphaerophoraceae Sphaerophorus,brun korallav,,,5261338.0
1053,1053,Sphagnum angustifolium,klubbetorvmose,7,Sphagnum angustifolium,,64942,104982,Sphagnum angustifolium,(C.E.O.Jensen ex Russow) C.E.O.Jensen,species,,,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,Cuspidata,,,Plantae Bryophyta Sphagnopsida Sphagnales Sphagnaceae Sphagnum Cuspidata,klubbetorvmose,klubbetorvmose,,2668960.0
1054,1054,Sphagnum annulatum agg.,pisktorvmose,1,Sphagnum annulatum,,64943,104983,Sphagnum annulatum,H.Lindb. ex Warnst.,species,,,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,Cuspidata,,,Plantae Bryophyta Sphagnopsida Sphagnales Sphagnaceae Sphagnum Cuspidata,pisktorvmose,pisktorvmose,,2669169.0
1055,1055,Sphagnum auriculatum,horntorvmose,1,Sphagnum auriculatum,,64946,104986,Sphagnum auriculatum,Schimp.,species,,,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,Subsecunda,,,Plantae Bryophyta Sphagnopsida Sphagnales Sphagnaceae Sphagnum Subsecunda,horntorvmose,horntorvmose,,4280844.0
1056,1056,Sphagnum balticum,svelttorvmose,4,Sphagnum balticum,,64948,104988,Sphagnum balticum,(Russow) C.E.O.Jensen,species,,,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,Cuspidata,,,Plantae Bryophyta Sphagnopsida Sphagnales Sphagnaceae Sphagnum Cuspidata,svelttorvmose,svelttorvmose,,2669138.0
1057,1057,Sphagnum capillifolium,furutorvmose,4,Sphagnum capillifolium,,64949,104989,Sphagnum capillifolium,(Ehrh.) Hedw.,species,,,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,Acutifolia,,,Plantae Bryophyta Sphagnopsida Sphagnales Sphagnaceae Sphagnum Acutifolia Acutifolia,furutorvmose,furutorvmose,,2669015.0
1058,1058,Sphagnum centrale,kratt-torvmose,3,Sphagnum centrale,,64950,104990,Sphagnum centrale,C.E.O.Jensen,species,,,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,Sphagnum,,,Plantae Bryophyta Sphagnopsida Sphagnales Sphagnaceae Sphagnum Sphagnum,kratt-torvmose,kratt-torvmose,,2669004.0
1059,1059,Sphagnum compactum,stivtorvmose,4,Sphagnum compactum,,64951,104991,Sphagnum compactum,Lam. & DC.,species,,,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,Rigida,,,Plantae Bryophyta Sphagnopsida Sphagnales Sphagnaceae Sphagnum Rigida,stivtorvmose,stivtorvmose,,2668959.0
1060,1060,Sphagnum contortum,vritorvmose,1,Sphagnum contortum,,64953,104993,Sphagnum contortum,Schultz,species,,,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,Subsecunda,,,Plantae Bryophyta Sphagnopsida Sphagnales Sphagnaceae Sphagnum Subsecunda,vritorvmose,vritorvmose,,2669208.0
