gbif_id,name_latin,name_nb,basestreng,basestreng_codes,basestreng_layers,v23_minor_types,n_minor_types,v30_basestreng,alignment_status,notes
2888310,Orthilia secunda,nikkevintergrønn,"v;s-[KA∙d|c],s-[UF·d|e]","[""v"", ""s-"", ""s-""]","[""v"", ""s-"", ""s-""]",T4-6,1,,pending,
2888310,Orthilia secunda,nikkevintergrønn,v;s-[UF·d|e],"[""v"", ""s-""]","[""v"", ""s-""]","T4-7,T4-8",2,,pending,
8211958,Oxalis acetosella,gjøkesyre,v*,"[""v*""]","[""v*""]",T4-17,1,,pending,
8211958,Oxalis acetosella,gjøkesyre,v*;s+[UF·b|c],"[""v*"", ""s+""]","[""v*"", ""s+""]",T4-3,1,,pending,
8211958,Oxalis acetosella,gjøkesyre,"v;s+[KA·d|c],s+[UF·b|c]","[""v"", ""s+"", ""s+""]","[""v"", ""s+"", ""s+""]",T4-2,1,,pending,
8211958,Oxalis acetosella,gjøkesyre,"v;s+[KA·d|c],s+[UF·d|e]","[""v"", ""s+"", ""s+""]","[""v"", ""s+"", ""s+""]",T4-6,1,,pending,
8211958,Oxalis acetosella,gjøkesyre,v;s+[UF·b|c],"[""v"", ""s+""]","[""v"", ""s+""]",T4-4,1,,pending,
8211958,Oxalis acetosella,gjøkesyre,v;s+[UF·d|e],"[""v"", ""s+""]","[""v"", ""s+""]","T4-7,T4-8",2,,pending,
5295911,Paris quadrifolia,firblad,v;s+[KA∙g|f],"[""v"", ""s+""]","[""v"", ""s+""]",T4-18,1,,pending,
5295911,Paris quadrifolia,firblad,v;s+[KA∙h|g],"[""v"", ""s+""]","[""v"", ""s+""]",T4-4,1,,pending,
3032585,Parnassia palustris,jåblom,s+[KA·h|g],"[""s+""]","[""s+""]","T4-19,T4-20",2,,pending,
2651330,Phegopteris connectilis,hengeving,m;v,"[""m"", ""v""]","[""m"", ""v""]",T4-18,1,,pending,
2651330,Phegopteris connectilis,hengeving,m;v*,"[""m"", ""v*""]","[""m"", ""v*""]",T4-17,1,,pending,
2651330,Phegopteris connectilis,hengeving,v;s-[UF·b|c],"[""v"", ""s-""]","[""v"", ""s-""]","T4-2,T4-3,T4-4",3,,pending,
5284884,Picea abies,gran,m*;v,"[""m*"", ""v""]","[""m*"", ""v""]",T4-18,1,,pending,
5284884,Picea abies,gran,m*;v*,"[""m*"", ""v*""]","[""m*"", ""v*""]","T4-1,T4-2,T4-3,T4-4,T4-17,T4-19",6,,pending,
5284884,Picea abies,gran,m*;v*;s-[UF∙d|e],"[""m*"", ""v*"", ""s-""]","[""m*"", ""v*"", ""s-""]","T4-5,T4-6,T4-7",3,,pending,
5284884,Picea abies,gran,m;v*;s-[UF∙d|e],"[""m"", ""v*"", ""s-""]","[""m"", ""v*"", ""s-""]",T4-8,1,,pending,
5284884,Picea abies,gran,v,"[""v""]","[""v""]","T4-9,T4-10,T4-11,T4-12,T4-20",5,,pending,
9458333,Pilosella officinarum,hårsveve,v,"[""v""]","[""v""]",T4-16,1,,pending,
9458333,Pilosella officinarum,hårsveve,"v;[KA∙d|c],s-[UF∙e|d]","[""v"", ""s-""]","[""v"", ""s-""]",T4-10,1,,pending,
9458333,Pilosella officinarum,hårsveve,"v;[KA∙f|e],s-[UF∙e|d]","[""v"", ""s-""]","[""v"", ""s-""]",T4-11,1,,pending,
9458333,Pilosella officinarum,hårsveve,v;s-[KA∙f|e],"[""v"", ""s-""]","[""v"", ""s-""]",T4-15,1,,pending,
9458333,Pilosella officinarum,hårsveve,v;s-[UF∙e|d],"[""v"", ""s-""]","[""v"", ""s-""]",T4-12,1,,pending,
7622278,Pimpinella saxifraga,gjeldkarve,v;s*[KA∙h|g],"[""v"", ""s*""]","[""v"", ""s*""]","T4-12,T4-16",2,,pending,
5285637,Pinus sylvestris,furu,m*;v,"[""m*"", ""v""]","[""m*"", ""v""]",T4-5,1,,pending,
5285637,Pinus sylvestris,furu,m*;v*,"[""m*"", ""v*""]","[""m*"", ""v*""]","T4-7,T4-8,T4-9,T4-10,T4-11,T4-12,T4-13,T4-14,T4-15,T4-16,T4-20",11,,pending,
5285637,Pinus sylvestris,furu,m;v*,"[""m"", ""v*""]","[""m"", ""v*""]","T4-6,T4-19",2,,pending,
5285637,Pinus sylvestris,furu,v,"[""v""]","[""v""]","T4-1,T4-2,T4-3,T4-4",4,,pending,
2688970,Plagiochila asplenioides,prakthinnemose,v*s-[KA∙e|f],"[""v*"", ""s-""]","[""v*"", ""s-""]",T4-17,1,,pending,
2688970,Plagiochila asplenioides,prakthinnemose,v;s*[UF∙d|e],"[""v"", ""s*""]","[""v"", ""s*""]","T4-6,T4-7",2,,pending,
2688970,Plagiochila asplenioides,prakthinnemose,v;s+[UF∙b|c],"[""v"", ""s+""]","[""v"", ""s+""]","T4-1,T4-18",2,,pending,
2688970,Plagiochila asplenioides,prakthinnemose,"v;s-[KA∙e|f],s-[UF∙b|c]","[""v"", ""s-"", ""s-""]","[""v"", ""s-"", ""s-""]",T4-2,1,,pending,
2688970,Plagiochila asplenioides,prakthinnemose,"v;s-[KA∙g|h],s-[UF∙b|c]","[""v"", ""s-"", ""s-""]","[""v"", ""s-"", ""s-""]",T4-3,1,,pending,
2688970,Plagiochila asplenioides,prakthinnemose,v;s-[UF∙b|c],"[""v"", ""s-""]","[""v"", ""s-""]",T4-4,1,,pending,
2677623,Plagiomnium affine,skogfagermose,v,"[""v""]","[""v""]","T4-7,T4-8,T4-17,T4-19,T4-20",5,,pending,
2677623,Plagiomnium affine,skogfagermose,v;s-[KA∙f|e],"[""v"", ""s-""]","[""v"", ""s-""]",T4-18,1,,pending,
2677623,Plagiomnium affine,skogfagermose,"v;s-[KA∙f|e],s-[UF·b|c]","[""v"", ""s-"", ""s-""]","[""v"", ""s-"", ""s-""]",T4-3,1,,pending,
2677623,Plagiomnium affine,skogfagermose,v;s-[UF·b|c],"[""v"", ""s-""]","[""v"", ""s-""]","T4-2,T4-4",2,,pending,
5283502,Plagiothecium laetum,glansjamnemose,v,"[""v""]","[""v""]","T4-2,T4-5",2,,pending,
5283502,Plagiothecium laetum,glansjamnemose,"v*;s-[UF∙b|c],s-[KA∙c|d]","[""v*"", ""s-"", ""s-""]","[""v*"", ""s-"", ""s-""]",T4-1,1,,pending,
5710930,Plagiothecium undulatum,kystjamnemose,v[O3–O1],"[""v""]","[""v""]",T4-5,1,,pending,
